lon,lat,elv,elv
-78.547,-0.581,3.44702,3447.02
-78.547,-0.584,3.5751,3575.1
-78.547,-0.586,3.66786,3667.86
-78.547,-0.589,3.68446,3684.46
-78.547,-0.592,3.73313,3733.13
-78.547,-0.595,3.73655,3736.55
-78.547,-0.597,3.75435,3754.35
-78.547,-0.6,3.83437,3834.37
-78.547,-0.603,3.89508,3895.08
-78.547,-0.605,3.84397,3843.97
-78.547,-0.608,3.79992,3799.92
-78.547,-0.611,3.78155,3781.55
-78.547,-0.614,3.74705,3747.05
-78.547,-0.616,3.71018,3710.18
-78.547,-0.619,3.67389,3673.89
-78.547,-0.622,3.65211,3652.11
-78.547,-0.625,3.63031,3630.31
-78.547,-0.627,3.59531,3595.31
-78.547,-0.63,3.55729,3557.29
-78.547,-0.633,3.5225,3522.5
-78.547,-0.636,3.5045,3504.5
-78.547,-0.638,3.48399,3483.99
-78.547,-0.641,3.46253,3462.53
-78.547,-0.644,3.44496,3444.96
-78.547,-0.647,3.42679,3426.79
-78.547,-0.649,3.41035,3410.35
-78.547,-0.652,3.38375,3383.75
-78.547,-0.655,3.36637,3366.37
-78.547,-0.658,3.36815,3368.15
-78.547,-0.66,3.38186,3381.86
-78.547,-0.663,3.38631,3386.31
-78.547,-0.666,3.37471,3374.71
-78.547,-0.669,3.36328,3363.28
-78.547,-0.671,3.35155,3351.55
-78.547,-0.674,3.35387,3353.87
-78.547,-0.677,3.34932,3349.32
-78.547,-0.68,3.34074,3340.74
-78.547,-0.682,3.31614,3316.14
-78.547,-0.685,3.31648,3316.48
-78.547,-0.688,3.32564,3325.64
-78.547,-0.691,3.32835,3328.35
-78.547,-0.693,3.32177,3321.77
-78.547,-0.696,3.31525,3315.25
-78.547,-0.699,3.30794,3307.94
-78.547,-0.702,3.29731,3297.31
-78.547,-0.704,3.29035,3290.35
-78.547,-0.707,3.28705,3287.05
-78.547,-0.71,3.27568,3275.68
-78.547,-0.713,3.26453,3264.53
-78.547,-0.715,3.25743,3257.43
-78.547,-0.718,3.25275,3252.75
-78.547,-0.721,3.24923,3249.23
-78.547,-0.724,3.23811,3238.11
-78.547,-0.726,3.19782,3197.82
-78.547,-0.729,3.18885,3188.85
-78.547,-0.732,3.17496,3174.96
-78.547,-0.735,3.16672,3166.72
-78.547,-0.737,3.16564,3165.64
-78.547,-0.74,3.15628,3156.28
-78.547,-0.743,3.15723,3157.23
-78.547,-0.746,3.16117,3161.17
-78.547,-0.748,3.15966,3159.66
-78.547,-0.751,3.1547,3154.7
-78.547,-0.754,3.15318,3153.18
-78.547,-0.757,3.14504,3145.04
-78.547,-0.759,3.16873,3168.73
-78.547,-0.762,3.18391,3183.91
-78.547,-0.765,3.18524,3185.24
-78.547,-0.768,3.19603,3196.03
-78.547,-0.77,3.1912,3191.2
-78.547,-0.773,3.1475,3147.5
-78.547,-0.776,3.17452,3174.52
-78.547,-0.779,3.18769,3187.69
-78.547,-0.781,3.16357,3163.57
-78.547,-0.784,3.18767,3187.67
-78.547,-0.787,3.20643,3206.43
-78.547,-0.79,3.20395,3203.95
-78.547,-0.792,3.22306,3223.06
-78.547,-0.795,3.1856,3185.6
-78.547,-0.798,3.19582,3195.82
-78.547,-0.8,3.15503,3155.03
-78.547,-0.803,3.18747,3187.47
-78.547,-0.806,3.20375,3203.75
-78.547,-0.809,3.2013,3201.3
-78.547,-0.811,3.17824,3178.24
-78.547,-0.814,3.18059,3180.59
-78.547,-0.817,3.19038,3190.38
-78.547,-0.82,3.16039,3160.39
-78.547,-0.822,3.07609,3076.09
-78.547,-0.825,3.04168,3041.68
-78.547,-0.828,3.03444,3034.44
-78.547,-0.831,3.0431,3043.1
-78.547,-0.833,3.14556,3145.56
-78.547,-0.836,3.15989,3159.89
-78.544,-0.559,3.43193,3431.93
-78.544,-0.562,3.47446,3474.46
-78.544,-0.564,3.51458,3514.58
-78.544,-0.567,3.57152,3571.52
-78.544,-0.57,3.53844,3538.44
-78.544,-0.573,3.4336,3433.6
-78.544,-0.575,3.48197,3481.97
-78.544,-0.578,3.57418,3574.18
-78.544,-0.581,3.50784,3507.84
-78.544,-0.584,3.53307,3533.07
-78.544,-0.586,3.64947,3649.47
-78.544,-0.589,3.72981,3729.81
-78.544,-0.592,3.79203,3792.03
-78.544,-0.595,3.80381,3803.81
-78.544,-0.597,3.78961,3789.61
-78.544,-0.6,3.8536,3853.6
-78.544,-0.603,3.90248,3902.48
-78.544,-0.605,3.86234,3862.34
-78.544,-0.608,3.84466,3844.66
-78.544,-0.611,3.83599,3835.99
-78.544,-0.614,3.81457,3814.57
-78.544,-0.616,3.7699,3769.9
-78.544,-0.619,3.76102,3761.02
-78.544,-0.622,3.77036,3770.36
-78.544,-0.625,3.71958,3719.58
-78.544,-0.627,3.65744,3657.44
-78.544,-0.63,3.59365,3593.65
-78.544,-0.633,3.55471,3554.71
-78.544,-0.636,3.523,3523
-78.544,-0.638,3.49508,3495.08
-78.544,-0.641,3.47227,3472.27
-78.544,-0.644,3.44786,3447.86
-78.544,-0.647,3.42583,3425.83
-78.544,-0.649,3.39965,3399.65
-78.544,-0.652,3.38011,3380.11
-78.544,-0.655,3.39346,3393.46
-78.544,-0.658,3.40376,3403.76
-78.544,-0.66,3.40055,3400.55
-78.544,-0.663,3.39043,3390.43
-78.544,-0.666,3.37945,3379.45
-78.544,-0.669,3.36663,3366.63
-78.544,-0.671,3.37042,3370.42
-78.544,-0.674,3.36582,3365.82
-78.544,-0.677,3.35826,3358.26
-78.544,-0.68,3.34459,3344.59
-78.544,-0.682,3.3249,3324.9
-78.544,-0.685,3.33369,3333.69
-78.544,-0.688,3.34472,3344.72
-78.544,-0.691,3.34243,3342.43
-78.544,-0.693,3.33238,3332.38
-78.544,-0.696,3.3231,3323.1
-78.544,-0.699,3.31795,3317.95
-78.544,-0.702,3.3076,3307.6
-78.544,-0.704,3.30376,3303.76
-78.544,-0.707,3.29689,3296.89
-78.544,-0.71,3.27705,3277.05
-78.544,-0.713,3.2693,3269.3
-78.544,-0.715,3.26556,3265.56
-78.544,-0.718,3.26456,3264.56
-78.544,-0.721,3.25487,3254.87
-78.544,-0.724,3.2221,3222.1
-78.544,-0.726,3.19863,3198.63
-78.544,-0.729,3.1888,3188.8
-78.544,-0.732,3.18005,3180.05
-78.544,-0.735,3.18328,3183.28
-78.544,-0.737,3.17656,3176.56
-78.544,-0.74,3.17273,3172.73
-78.544,-0.743,3.16496,3164.96
-78.544,-0.746,3.17139,3171.39
-78.544,-0.748,3.16561,3165.61
-78.544,-0.751,3.17024,3170.24
-78.544,-0.754,3.16987,3169.87
-78.544,-0.757,3.16454,3164.54
-78.544,-0.759,3.18951,3189.51
-78.544,-0.762,3.21199,3211.99
-78.544,-0.765,3.221,3221
-78.544,-0.768,3.21557,3215.57
-78.544,-0.77,3.15762,3157.62
-78.544,-0.773,3.15206,3152.06
-78.544,-0.776,3.23212,3232.12
-78.544,-0.779,3.20581,3205.81
-78.544,-0.781,3.2143,3214.3
-78.544,-0.784,3.19339,3193.39
-78.544,-0.787,3.23024,3230.24
-78.544,-0.79,3.22351,3223.51
-78.544,-0.792,3.21841,3218.41
-78.544,-0.795,3.21222,3212.22
-78.544,-0.798,3.2075,3207.5
-78.544,-0.8,3.18055,3180.55
-78.544,-0.803,3.20471,3204.71
-78.544,-0.806,3.21834,3218.34
-78.544,-0.809,3.2164,3216.4
-78.544,-0.811,3.18936,3189.36
-78.544,-0.814,3.20543,3205.43
-78.544,-0.817,3.1951,3195.1
-78.544,-0.82,3.10925,3109.25
-78.544,-0.822,3.05106,3051.06
-78.544,-0.825,3.08674,3086.74
-78.544,-0.828,3.04342,3043.42
-78.544,-0.831,3.10791,3107.91
-78.544,-0.833,3.18994,3189.94
-78.544,-0.836,3.19494,3194.94
-78.542,-0.559,3.50686,3506.86
